Player,Year,ADP,Fantasy_Round,Position_ADP,Overall_Rank,Positional_Rank,Returned_Value_Overall,Returned_Value_Postition,College,Conference,College_Wins_Final_Szn,Draft_Position,Draft_Round,Team_Drafted_To,Team_Drafted_to_Ws_Prev_Yr,Carries,Yards,TDS
Todd Gurley,2015,61,6,27,15,5,1,1,Georgia,SEC,10,10,1,St.Louis/ Los Angeles Rams,6,123,911,9
Josh Jacobs,2019,33,3,16,82,21,0,0,Alabama,SEC,14,24,1,Las Vegas,4,120,640,11
Trey Sermon,2021,83,7,32,355,97,0,0,Oklahoma/Ohio State,Big 10,7,88,3,Indianpolis,11,116,870,4
James Cook,2022,116,10,41,162,44,0,0,Georgia,SEC,14,63,2,Buffalo,11,113,728,7
Alvin Kamara,2017,142,12,52,4,3,1,1,Tenessee,SEC,9,67,3,New Orleans,7,103,596,9
Rhamondre Stevenson,2021,165,14,50,162,47,1,1,Oklahoma,Big 12,9,120,4,New England,7,101,665,7
Dameon Pierce,2022,81,7,28,96,28,0,1,Florida,SEC,6,107,4,Houston,4,100,574,13
Tony Pollard,2019,130,11,44,191,53,0,0,Memphis,AAC,8,128,4,Dallas,10,78,552,6
Antonio Gibson,2020,97,9,39,63,13,1,1,Memphis,AAC,12,66,3,Washington,3,33,369,4
Ty Montgomery,2015,177,15,58,299,89,0,0,Stanford,Pac 12,8,94,3,Packers,12,23,144,1
